,관광지명,검색명,분류,주소,좌표(x),좌표 (y),봄,여름,가을,겨울,여자,남자,10대,20대,30대,40대,50대,60대,운영시간,주차장소,소요시간,사진,설명,휴일,전화번호,홈페이지
10,강동아트센터,강동아트센터,A02060600,서울특별시 강동구 동남로 870,127.1573440585,37.5512009153,17.0,18.0,22.0,43.0,50.0,50.0,0.0,4.0,16.0,42.0,29.0,9.0,공연에 따라 다름,주차 가능(약 210대),공연에 따라 다름,http://tong.visitkorea.or.kr/cms/resource/74/2030474_image3_1.jpg,"강동아트센터는 강동구 명일근린공원 내에 위치한 전문 공연장으로 자연공원과 문화공간이 경계없이 조우하는 사용자 중심의 편안한 구조의  공연장이다. 객석수 850석 규모의 대극장(한강)은 오페라, 발레, 뮤지컬, 콘서트 등 다양한 장르의 공연을 위한 최첨단 시설을 갖추고 있다. 전위적이고 창조적인 공연이 가능한 250석 규모의 소극장(드림)은 첨단 메커니즘을 갖추고 있으며, 연출자의 의도에 따라 극장의 운영형태를 자유롭게 바꿀 수 있는 실험적인 극장이다. 또한, 전시를 위한 아트갤러리와 창작 공간 및 교육 프로그램을 위한 3곳의 스튜디오를 갖추고 있다.<br /><br />* 개관일 2011년 9월 1일<br>",공연에 따라 다름,02-440-0500,https://www.gdfac.or.kr
11,강변스파랜드,강변스파랜드,A02020400,서울특별시 광진구 구의강변로 45,127.09161161809999,37.5348266305,37.0,28.0,14.0,21.0,54.0,46.0,0.0,0.0,4.0,18.0,34.0,44.0,"24시간<br />
주간 : 05:00~20:00 / 야간 20:00~05:00",주차 가능,None,http://tong.visitkorea.or.kr/cms/resource/13/1984613_image3_1.jpg,"강변스파랜드는 9917.4m²(3,000평) 규모의 지하 1,200m 게르마늄 탄산 암반유황천의 재래식 불한증막 및 사우나로 한국 최초, 최고의 발맛사지탕을 무료로 이용할 수 있으며, 한차원 높은 문화공간 체험이 가능한 곳이다. 후불제 정산시스템을 도입하여 락커키로 편리하게 시설들을 사용할 수 있으며, 지하 2층은 사우나, 지하 1층은 공용 찜질방이다. 세련된 인테리어와 유황 성분이 함유된 사우나 물은 매끄럽고 피부에도 좋다고 한다. 재래식 소나무장작 불한증막, 넓은 남.녀 공용홀을 비롯하여 숯방, 소금방, 은피라미드방, 황토불가마 등 다양한 찜질방과 야외 공기와 연결되는 발맛사지탕과 이글루체험방, 옥냉방 그외 휴식공간으로 산소방, 생잣나무방, 황토토굴방이 있으며 스넥코너, 아이스크림코너,한식당, 분식당, 헬스장, 에어로빅실, 영화방, 만화대여점(보드게임대여점, 어린이방), 매점, 스포츠마사지, 네일아트, 피부관리실, 좌욕실 등 각종 편의시설이 구비되어 있다.<br>",연중무휴,02-455-3737,http://ispaland.co.kr
12,강북문화원,강북문화원,A02060700,서울특별시 강북구 삼각산로 85,127.01331018280001,37.640843455100004,48.0,20.0,23.0,9.0,51.0,49.0,0.0,1.0,13.0,25.0,33.0,28.0,09:00~18:00,주차 가능,,http://tong.visitkorea.or.kr/cms/resource/33/1894733_image3_1.jpg,강북문화원은 강북구 지역의 역사와 문화의 숨결 등 다양한 문화정보를 제공하고 있다.<br>,"토요일, 일요일, 공휴일",강북문화원 02-999-8810,http://www.gbculture.or.kr
13,강서습지생태공원,강서습지생태공원,A01010500,서울특별시 강서구 양천로27길 279-23,126.8128382765,37.588898684,33.0,21.0,22.0,23.0,49.0,51.0,0.0,1.0,4.0,21.0,42.0,31.0,일출 후부터 일몰 전까지 자유롭게 이용 가능,"있음(160대, 장애인구역 6대 포함)",None,http://tong.visitkorea.or.kr/cms/resource/81/1894481_image3_1.jpg,"방화대교 남쪽 끝에서 행주대교 남쪽 끝 사이 한강 둔치에 있는 생태공원이다. 서울시 생태관광명소 30개소 중 하나로 선정된 강서습지생태공원은&nbsp;담수지·저습지 등을 조성하고 습생·수생식물을 심은 습지공원으로 2002년 7월에 개원되었다. 하중도, 자연관찰로, 습초지 등 습지 생태계를 복원하여 하천의 자연정화 기능을 제공한다. 갈대밭·버드나무숲이 어우러진 습지를 가로질러 두 곳의 탐방로와 철새 조망대 등이 있다. 여름과 겨울에는 철새들이 찾아들며, 다양한 생태학습 프로그램을 운영하고 있다. 또한 방화대교 하부, 가족 피크닉장 앞, 행주대교 하부에는 체력단련기구 등을 갖춰 시민의 여가활동과 스포츠 공간으로서의 기능을 하고있다.
* 면적 : 370,000㎡",연중무휴,한강사업본부 강서안내센터 02-3780-0621~3,http://hangang.seoul.go.kr
14,개운사(서울),개운사,A02010800,서울특별시 성북구 개운사길 73,127.0280213987,37.5899857439,0.0,0.0,100.0,0.0,6.0,94.0,0.0,0.0,0.0,3.0,4.0,93.0,,주차 가능,None,http://tong.visitkorea.or.kr/cms/resource/26/2690626_image3_1.jpg,"서울 성북구 안암동 네거리에서 약 500m쯤 북쪽으로 올라간 곳에 자리 잡고 있다. 고려대학교와 고려대부속병원 사이다. 개운사는 조선 태조 이성계의 왕사인 무학대사가 1396년에 세웠다. 넓은 뜰과산 비탈을 타고 앉은 한적한 경내는 도심 속의 좋은 쉼터역할을 하며, 중앙승가대학(현재는 김포에 위치)이 있던 곳으로 20세기 이후에 한국 교육불사와 불교의 진보적인 운동을 주도해 왔다.<br>",,02-926-4069,http://www.gaeunsa.org
15,개천절 대제전 2020,개천절 대제전 ,A02070200,서울특별시 종로구 인왕산로 22,126.9657719166,37.5758807095,0.0,0.0,0.0,100.0,38.0,62.0,0.0,0.0,6.0,52.0,24.0,18.0,None,None,2시간30분,http://tong.visitkorea.or.kr/cms/resource/44/2621144_image2_1.JPG,"개천의 의미는 곧바로 고조선 개국을 의미하지는 않는다. 선현의 개국정신을 이어받아 홍익인간.이화세계 통치이념으로 고조선을 개국하여 대한민국까지 이어져 오고있다는 역사적 사실을 의미한다. 개천절은 우리겨레 개국기념일로써, 거국적인 제천의식이다.",None,02-736-6375,http://blog.daum.net
16,개화산 해맞이 2020,개화산 해맞이 ,A02070200,서울특별시 강서구 개화동,126.8047169862,37.582104885300005,19.0,50.0,12.0,20.0,55.0,45.0,0.0,1.0,4.0,16.0,43.0,37.0,DEL,DEL,DEL,http://tong.visitkorea.or.kr/cms/resource/18/2582518_image2_1.jpg,DEL,DEL,DEL,DEL
17,갤러리 나우,갤러리 나우,A02060500,서울특별시 종로구 인사동길 39,126.98494800579999,37.573784075300004,23.0,27.0,24.0,26.0,66.0,34.0,0.0,3.0,4.0,21.0,39.0,33.0,"하절기 11:00~19:00<br />
동절기 11:00~18:00",없음,,http://tong.visitkorea.or.kr/cms/resource/55/682555_image3_1.jpg,사진 전문 갤러리로서 현대 사진 예술의 새로운 비전을 제시하는 것을 목표로 하여 작지만 그 역할을 다하고자 2006년 4월 문을 열었다. 언제나 열려 있는 공간으로 가능성 있는 젊은 작가를 발굴하고 지원할 수 있는 프로그램을 비롯하여 작가 프로모션 등을 통해 한국 사진의 새로운 변화를 꾀하는 활로를 여는데 기여하고자 한다.<br>,,갤러리나우 02-725-2930,http://gallery
18,갤러리 라메르,갤러리 라메르,A02060500,서울특별시 종로구 인사동5길 26,126.9848480493,37.572573103,27.0,62.0,0.0,11.0,68.0,32.0,0.0,2.0,5.0,33.0,34.0,27.0,10:30~18:00,인근 유료주차장 이용,,http://tong.visitkorea.or.kr/cms/resource/07/2022407_image3_1.jpg,"갤러리 라메르 (Gallery La Mer)는 ‘La Mer’ 라는 이름처럼 다양한 장르의 미술을 넓게 포용하여, 생활 속에 자연스럽게 스며드는 미술 문화의 보급에 앞장서고자 한다.<br />
2001년 10월에 사설 갤러리로서는 국내 최대 규모(총 240평)로 개관한 이래, 다채로운 기획전 및 수준 높은 대관전들을 선보여 온 갤러리 라메르는 빠르게 변화해 가는 현대 미술을 조망할 수 있는 다양한 전시와 더불어, 우리의 정서와 미감을 현대적으로 해석한 참신한 기획전을 통하여, 우리 미술의 정체성 확립 및 대중화에 기여하고자 한다.<br />
매년  'LaMer Leading Artists', 'La Mer New Artists' 기획 공모  및  '라메르 신진작가 창작지원 프로그램' 등 다양한 작가 지원 프로그램을 통해 참신한 중진 작가의 재조명,개성있는 신진 작가의 창작 활동 지원에 힘쓰고 있다.<br>","1월 1일, 설, 추석",갤러리 라메르 02-730-5454,http://www.galleryLAMER.com
19,갤러리 룩스,갤러리 룩스,A02060500,서울특별시 종로구 필운대로7길 12,126.9678271232,37.5815911941,0.0,72.0,28.0,0.0,66.0,34.0,0.0,9.0,4.0,54.0,14.0,20.0,"월 : 사전예약<br />
화~일 11:00~18:00",주차공간이 협소하므로 가급적 대중교통 이용,,http://tong.visitkorea.or.kr/cms/resource/36/2045036_image2_1.jpg," 갤러리 룩스는 1999년 개관 이래 사진, 판화, 영상 및 Contemporary Art를 전시하는 전문 갤러리로써 종로구 옥인동 62번지에 위치하고 있다.룩스는 그간 국내외 유명 중견 작가들과 ​젊고 역량있는 신진작가를 발굴하여 그들의 신선하고 독특한 감수성을 선보이고자 노력해왔으며, 화랑 미술제, KIAF 등 매년 다양한 아트페어 참가 및 기업과 개인의 아트 컨설팅 사업을 통하여 문화예술의 장을 확대하고, 다양한 컬렉터를 찾기 위해 노력하고 있다.<br>",매주 월요일,갤러리 룩스 02-720-8488,http://www.gallerylux.net
20,갤러리 시몬,갤러리 시몬,A02060500,서울특별시 종로구 자하문로6길 20,126.9732156208,37.5780694778,9.0,29.0,47.0,14.0,82.0,18.0,3.0,10.0,17.0,32.0,28.0,10.0,10:30~18:30,주차 가능,,http://tong.visitkorea.or.kr/cms/resource/39/683539_image3_1.jpg,"1994년에 설립된 갤러리 시몬은 현대 미술의 미를 감상하고 그 중요성을 알리는 아트갤러리이다. 국내외 아티스트의 주요 컬렉션을 소장하고 있으며 유명한 국내외 아트 전시회를 계속 개최하고 있다. 갤러리 시몬은 'Simon's friends'라고 알려진 기존의 그룹 전시회를 해마다 개최하고 있으며 문범, 이기봉, 노상균, 홍승혜, 최선명, 권용래의 작품들이 전시되고 있다.현대 미술의 흐름과 작품에 녹아있는 작가의 식지않는 신념과 정신을 공감할 수 있도록 깊은 이해를 도모하고 있다.<br>","매주 월요일, 일요일",갤러리 시몬 02-549-3031,http://www.gallerysimon.com
21,갤러리 원,갤러리 원,A02060500,서울특별시 강남구 압구정로71길 14,127.0458882102,37.5275211007,73.0,0.0,0.0,27.0,93.0,7.0,2.0,13.0,23.0,52.0,6.0,4.0,"월~금 10:00~18:00<br />
토요일 방문시 사전예약",주차 가능(약 6대),약 1시간,http://tong.visitkorea.or.kr/cms/resource/77/683577_image3_1.jpg,"갤러리 원은 강남의 청담동 화랑가에 있으며, 넓은 면적과 쾌적한 높이의 천장, 전시 작품의 가치를 더욱 돋보이게 하고 관람객의 편안한 작품 감상을 위해 설계된 시설과 조명은 전시장을 찾는 모든 관람객들에게 색다른 경험을 선사할 것이다. <br>","일요일 및 공휴일(단, 전시중이면 무휴)",갤러리 원 02-514-3439,http://www.gallerywon.co.kr
22,갤러리 인데코,갤러리 인데코,A02060500,서울특별시 강남구 압구정로36길 8,127.0313117475,37.527948566599996,39.0,19.0,10.0,32.0,64.0,36.0,0.0,3.0,9.0,28.0,34.0,26.0,전시상황에 따라 다름,,,http://tong.visitkorea.or.kr/cms/resource/81/2024981_image3_1.jpg,"갤러리 인데코는 1988년 조덕현, 박순옥, 강성원 3인전 개관기념 초대전을 시작으로 1989년 고암 이응노 추모전을 비롯하여 방혜자, 김원숙 그리고  박항률, 이현, 김일영, 강명순, 이정웅, 장문걸 선생님 등을 모시고 크고 작은 그룹전 및 개인전을 기획 전시하였고, 98년 예술의 전당에서 ""세계 조각사를 한눈에"" 라는 주제로 루브르 조각전을 주관하여 서울에 이어 지방 순회 전시를 성공적으로 개최한바 있으며 NICAF, 해외미술제 등 국내·외에서  전시기획을 주관하였다.<br>",,갤러리인데코 02-511-0032,http://www.indecoart.co.kr
